Date,Period 2,Group 1,Period 3/6,Group 2,Period 8,Group 3,Period 9,Group 4
2022-11-14,Period 2,A,Period 6,B,Period 8,C,Period 9,D
2022-11-15,Period 2,E,Period 3,F,Period 8,G,Period 9,H
2022-11-17,Period 2,I,Period 6,J,Period 8,K,Period 9,L
2022-11-18,Period 2,M,Period 3,N,Period 8,O,Period 9,P
2022-11-21,Period 2,Q,Period 6,R,Period 8,S,Period 9,T
2022-11-22,Period 2,D,Period 3,A,Period 8,B,Period 9,C
2022-11-23,Period 2,T,Period 6,Q,Period 8,R,Period 9,S
2022-11-24,Period 2,P,Period 3,M,Period 8,N,Period 9,O
2022-11-25,Period 2,H,Period 6,E,Period 8,F,Period 9,G
2022-11-28,Period 2,L,Period 3,I,Period 8,J,Period 9,K
2022-11-29,Period 2,C,Period 6,D,Period 8,A,Period 9,B
2022-11-30,Period 2,S,Period 3,T,Period 8,Q,Period 9,R
2022-12-02,Period 2,G,Period 6,H,Period 8,E,Period 9,F
2022-12-05,Period 2,K,Period 3,L,Period 8,I,Period 9,J
2022-12-06,Period 2,O,Period 6,P,Period 8,M,Period 9,N
2022-12-07,Period 2,N,Period 3,O,Period 8,P,Period 9,M
2022-12-08,Period 2,F,Period 6,G,Period 8,H,Period 9,E
2022-12-09,Period 2,B,Period 3,C,Period 8,D,Period 9,A
